Id,Category
1998,no
1003,no
3503,no
3383,no
3520,no
1368,no
4487,no
153,no
2867,no
1541,no
3227,no
2635,no
2146,no
3871,no
1186,no
1903,no
4074,no
656,no
1457,no
3621,no
1438,no
1687,no
3479,no
1572,no
3244,no
262,no
3409,no
3267,no
478,no
3836,no
3638,no
3211,no
